Order in file, Clean Question, Tagged Elements, Full Question
"1","Who is Christopher Robin?","['<COREF ID=""115"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","1. Who is <COREF ID=""115"" REF=""70""><MARKABLE>Christopher Robin</MARKABLE></COREF>?"
"2","What did Mr. Robin do when Chris was three years old?","['<COREF ID=""117"" REF=""75""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""116"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","2. What did <COREF ID=""117"" REF=""75""><MARKABLE>Mr. Robin</MARKABLE></COREF> do when <COREF ID=""116"" REF=""70""><MARKABLE>Chris</MARKABLE></COREF> was three years old?"
"3","When was Winnie the Pooh written?","['<COREF ID=""118"" REF=""71""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was <COREF ID=""118"" REF=""71""><MARKABLE>Winnie the Pooh</MARKABLE></COREF> written?"
"4","Where did young Chris live?","['<COREF ID=""119"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did young <COREF ID=""119"" REF=""70""><MARKABLE>Chris</MARKABLE></COREF> live?"
"5","Why did Chris write two books of his own?","['<COREF ID=""120"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""122"" REF=""74""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""121"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""120"" REF=""70""><MARKABLE>Chris</MARKABLE></COREF> write two <COREF ID=""122"" REF=""74""><MARKABLE>books</MARKABLE></COREF> of <COREF ID=""121"" REF=""70""><MARKABLE>his</MARKABLE></COREF> own?"
"1","Who fixes the merry-go-round?","['<COREF ID=""397"" REF=""385""><MARKABLE>', '</MARKABLE></COREF>']","1. Who fixes the <COREF ID=""397"" REF=""385""><MARKABLE>merry-go-round</MARKABLE></COREF>?"
"2","What is another name for a merry-go-round?","['<COREF ID=""399"" REF=""385""><MARKABLE>', '</MARKABLE></COREF>']","2. What is another name for a <COREF ID=""399"" REF=""385""><MARKABLE>merry-go-round</MARKABLE></COREF>?"
"3","When was the first one built in the United States?","['<COREF ID=""400"" REF=""386""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the first <COREF ID=""400"" REF=""386""><MARKABLE>one</MARKABLE></COREF> built in the United States?"
"4","Where was the first one built in the United States?","['<COREF ID=""401"" REF=""386""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where was the first <COREF ID=""401"" REF=""386""><MARKABLE>one</MARKABLE></COREF> built in the United States?"
"5","Why do merry-go-rounds need to be fixed?","['<COREF ID=""398"" REF=""385""><MARKABLE>', '</MARKABLE></COREF>']","5. Why do <COREF ID=""398"" REF=""385""><MARKABLE>merry-go-rounds</MARKABLE></COREF> need to be fixed?"
"1","Who is the captain of the sailboat?","['<COREF ID=""455"" REF=""423""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""456"" REF=""426""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who is the <COREF ID=""455"" REF=""423""><MARKABLE>captain</MARKABLE></COREF> of the <COREF ID=""456"" REF=""426""><MARKABLE>sailboat</MARKABLE></COREF>?"
"2","What is the name of the boat?","['<COREF ID=""457"" REF=""426""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the name of the <COREF ID=""457"" REF=""426""><MARKABLE>boat</MARKABLE></COREF>?"
